feed_type,Agent_Review_Agent,Agent_Review_Human,Human_Review_Agent,Human_Review_Human,Total
Code Improvement,65.1%,60.3%,54.7%,49.0%,54.4%
Defects,30.5%,36.7%,7.8%,6.9%,20.7%
Understanding,0.6%,0.5%,17.3%,30.7%,16.4%
Knowledge Transfer,0.4%,0.2%,5.5%,3.9%,2.2%
Testing,1.0%,1.3%,5.8%,2.9%,2.2%
Social Communication,0.2%,0.0%,5.1%,3.1%,1.7%
External Impact,2.2%,1.0%,1.2%,1.5%,1.2%
Misc,0.0%,0.0%,2.6%,1.7%,0.9%
No feedback,0.0%,0.0%,0.0%,0.2%,0.1%
Review Tool,0.0%,0.0%,0.1%,0.1%,0.0%
Total,928,"104,270","6,519","116,574","228,291"
