category,CD
ARH,2.5333
ARH,4.8889
ARH,4.2222
ARH,4.8750
ARH,4.7500
ARH,5.5556
ARH,4.7500
ARH,4.0000
ARH,6.2500
ARH,8.8889
ARH,9.3333
ARH,6.8889
ARH,5.3333
ARH,3.8889
ARH,11.5556
ARH,7.7778
ARH,3.0000
ARH,11.7273
HRH,4.2222
HRH,0.7500
HRH,2.4444
HRH,2.1111
HRH,8.7778
ARH,4.7778
ARH,3.6667
ARH,4.1250
ARH,6.1111
HRH,2.5556
HRH,1.8889
HRH,0.6250
HRH,3.1250
HRH,10.2222
HRH,0.7500
HRH,1.1111
HRH,1.6667
HRH,3.2857
HRH,1.3333
HRH,1.5000
HRH,4.5000
ARH,16.1818
ARH,13.3750
ARH,3.6667
HRH,3.8889
HRH,2.5000
HRH,4.8750
ARH,2.0000
ARH,6.2222
ARH,9.8667
ARH,3.7778
ARH,6.3333
ARH,4.7500
ARH,4.7500
ARH,4.6667
HRH,0.6250
HRH,3.3333
ARH,3.8750
ARH,7.6667
ARH,12.0588
ARH,8.4444
ARH,9.8889
ARH,5.2500
ARH,9.7000
ARH,7.2222
ARH,8.7000
ARH,7.2222
ARH,6.1111
ARH,3.8889
ARH,7.6667
ARH,6.0000
ARH,12.5000
ARH,2.0000
ARH,2.2222
ARH,2.1200
ARH,5.3333
ARH,5.3333
ARH,9.0000
ARH,2.0769
HRH,0.3750
HRH,0.1489
ARH,2.5556
ARH,4.0000
ARH,6.5000
ARH,6.7778
ARH,4.1111
ARH,2.1111
ARH,5.4444
ARH,10.0000
ARH,4.4444
ARH,5.3333
ARH,11.0000
ARH,3.1111
ARH,7.1250
ARH,6.6250
ARH,6.2500
ARH,8.4667
ARH,15.0000
ARH,6.6667
ARH,2.7000
ARH,3.8000
ARH,1.2069
ARH,9.1250
ARH,6.5000
HRH,3.8889
HRH,11.3333
HRH,6.6667
ARH,7.7778
ARH,1.8947
ARH,6.7500
ARH,12.5556
ARH,8.8889
ARH,6.0000
ARH,2.4286
ARH,6.4545
ARH,6.1818
ARH,9.0000
ARH,3.5000
ARH,7.7778
ARH,5.2222
ARH,7.0000
ARH,4.7778
ARH,10.1111
ARH,12.3333
ARH,7.6667
ARH,7.5556
ARH,7.1250
ARH,7.2500
ARH,9.1111
HRH,0.8750
HRH,1.3750
HRH,1.8750
HRH,2.2500
HRH,0.7778
HRH,4.0000
HRH,2.4286
ARH,7.0000
ARH,3.1000
ARH,8.2222
ARH,3.7500
ARH,8.7778
ARH,7.1250
ARH,5.8889
ARH,3.0000
ARH,6.0000
ARH,2.1667
ARH,6.6667
ARH,9.0000
ARH,9.0000
ARH,2.6667
ARH,2.6667
HRH,2.6000
ARH,8.3333
ARH,5.5556
ARH,6.3333
ARH,3.1429
ARH,4.4286
ARH,7.0000
ARH,6.5000
ARH,9.6667
ARH,10.2000
ARH,10.8462
ARH,9.6250
ARH,9.2500
HRH,2.5556
ARH,9.1250
ARH,8.3333
ARH,3.5000
ARH,32.4444
ARH,34.6923
ARH,5.1000
ARH,4.4000
ARH,3.3750
ARH,17.2000
ARH,6.1111
ARH,7.4545
ARH,6.7778
ARH,4.1111
ARH,12.5000
ARH,14.7778
ARH,15.7500
ARH,2.2000
ARH,4.5714
ARH,4.5714
ARH,10.2727
ARH,4.7778
ARH,4.5556
ARH,4.5556
ARH,3.2500
ARH,3.3750
ARH,3.3750
ARH,0.6571
ARH,0.7222
ARH,6.2222
ARH,1.0000
ARH,1.1111
ARH,2.3333
ARH,2.3333
ARH,2.3333
ARH,2.6250
ARH,2.6250
ARH,2.7500
ARH,2.7500
ARH,2.7500
ARH,2.7500
ARH,2.7500
ARH,2.7500
ARH,2.7500
ARH,2.7500
ARH,2.1111
ARH,2.0000
ARH,2.3750
ARH,2.3750
ARH,9.4286
ARH,3.2500
ARH,1.0000
ARH,0.3333
ARH,0.4444
ARH,5.1111
HRH,1.5556
HRH,9.6667
HRH,3.0000
ARH,5.2500
ARH,12.7000
ARH,3.8750
ARH,8.5000
ARH,8.5000
ARH,7.5556
ARH,22.4444
HRH,3.5714
HRH,2.3750
ARH,11.6667
ARH,11.6667
ARH,8.9048
HRH,9.7143
ARH,11.5556
HRH,3.5556
HRH,2.4444
ARH,8.6000
ARH,15.0000
HRH,12.2857
HRH,12.6250
HRH,7.3333
ARH,10.1111
ARH,13.0000
ARH,12.6667
ARH,10.7500
ARH,12.2500
ARH,17.6250
ARH,15.3333
ARH,8.3333
ARH,8.3333
ARH,7.2222
ARH,20.6250
ARH,8.8889
ARH,7.5556
HRH,4.0000
HRH,0.5455
HRH,0.8889
HRH,5.7778
ARH,15.0833
ARH,13.6364
ARH,21.6250
ARH,10.7059
ARH,5.2222
ARH,18.0000
ARH,6.2667
ARH,10.5556
ARH,10.5625
ARH,31.8000
ARH,9.2222
ARH,97.0000
ARH,29.8889
ARH,25.7778
ARH,13.6250
ARH,18.3333
ARH,11.3000
ARH,9.3333
ARH,9.8235
ARH,11.0000
ARH,16.2000
ARH,11.2727
ARH,9.4615
ARH,10.4000
ARH,26.5556
ARH,12.0000
ARH,10.1111
ARH,10.2222
ARH,8.0000
ARH,12.6667
ARH,126.0000
HRH,10.2667
ARH,14.3571
ARH,10.6250
ARH,10.8750
ARH,12.3333
ARH,17.6000
ARH,85.5000
ARH,9.8667
ARH,20.8889
ARH,15.1111
HRH,7.2222
HRH,3.0000
HRH,8.8750
HRH,1.0000
ARH,13.2222
HRH,6.0000
HRH,4.0000
ARH,19.5000
ARH,11.8750
ARH,12.1111
ARH,10.4444
ARH,16.0000
ARH,7.6667
HRH,3.7778
ARH,15.6364
ARH,20.0000
HRH,3.5556
HRH,4.5556
HRH,0.7778
HRH,14.1111
HRH,4.7778
HRH,0.2222
HRH,7.0000
ARH,27.3333
ARH,15.0000
HRH,0.7500
HRH,1.7500
ARH,18.1250
ARH,16.8889
HRH,7.4444
HRH,7.4444
HRH,3.0000
HRH,3.0000
HRH,3.0000
HRH,3.0000
HRH,3.0000
HRH,3.0000
HRH,4.5000
HRH,1.0000
HRH,5.2222
HRH,7.2222
HRH,0.7500
HRH,4.7778
HRH,8.1111
ARH,15.1111
ARH,23.3750
ARH,11.5556
ARH,24.6667
ARH,7.6667
ARH,7.6667
ARH,7.6667
ARH,7.7778
ARH,30.3750
HRH,2.8889
ARH,11.7778
ARH,23.0000
ARH,6.5000
ARH,5.0769
ARH,10.7778
ARH,9.4444
ARH,9.6667
HRH,13.2222
HRH,2.1111
HRH,4.8750
HRH,6.3750
HRH,3.5556
ARH,18.4444
ARH,9.4444
ARH,7.7500
ARH,10.0000
ARH,7.3333
ARH,11.8750
ARH,13.2500
ARH,11.1111
ARH,11.3750
ARH,8.1250
ARH,13.2000
ARH,6.5556
ARH,13.2500
ARH,10.3750
HRH,7.0000
HRH,1.3750
HRH,0.6154
HRH,4.6000
HRH,5.1765
HRH,7.1111
HRH,4.1111
HRH,2.1111
HRH,15.2222
HRH,3.8571
HRH,2.5714
HRH,1.6667
HRH,2.1818
HRH,7.2500
ARH,10.2222
HRH,1.8571
HRH,1.2857
HRH,2.5000
HRH,1.5714
HRH,1.0000
HRH,1.2857
HRH,1.2857
HRH,0.6667
HRH,1.4444
HRH,1.0000
HRH,1.0000
HRH,1.7143
HRH,4.0000
HRH,1.0000
ARH,3.8889
ARH,3.8889
ARH,2.4000
ARH,2.4000
HRH,0.8889
HRH,1.1111
HRH,2.2857
HRH,1.0000
HRH,0.6667
HRH,3.2222
ARH,8.1111
ARH,9.0000
ARH,8.7500
ARH,18.5556
HRH,3.7500
ARH,8.2222
ARH,8.1111
ARH,8.1111
ARH,8.2222
ARH,8.1111
HRH,3.9412
HRH,3.1818
HRH,3.1111
HRH,2.7778
HRH,3.7778
HRH,2.8889
HRH,8.1111
HRH,6.0000
HRH,4.0000
ARH,11.3333
ARH,10.2667
ARH,14.0000
HRH,5.6667
HRH,2.3333
HRH,1.0000
HRH,7.0000
HRH,1.0000
HRH,5.2500
HRH,2.7931
HRH,3.7692
HRH,5.0000
HRH,7.4444
HRH,2.0000
HRH,2.0000
ARH,0.7545
ARH,2.8667
HRH,0.6667
HRH,10.2222
HRH,3.1111
HRH,0.8889
HRH,5.1250
HRH,1.7778
HRH,2.3333
HRH,0.3333
HRH,3.0000
HRH,0.3077
HRH,3.1111
HRH,1.3000
HRH,5.8889
HRH,1.1250
HRH,4.5000
HRH,1.2000
HRH,3.0000
HRH,5.2500
HRH,4.7778
HRH,1.4444
HRH,0.2222
HRH,0.1111
HRH,0.1111
HRH,0.1111
HRH,0.1111
HRH,1.4444
HRH,0.3750
HRH,4.0000
HRH,2.4000
HRH,1.4444
HRH,3.8889
HRH,1.7500
HRH,1.6667
HRH,1.5556
HRH,0.6667
HRH,0.1111
HRH,2.2222
HRH,11.6667
HRH,4.2500
HRH,6.3333
HRH,6.8182
HRH,2.0000
HRH,4.1111
HRH,1.7778
HRH,0.4444
ARH,31.0667
ARH,20.7273
ARH,24.1429
ARH,12.5000
HRH,5.4000
HRH,5.8889
HRH,2.5556
HRH,0.2654
HRH,2.1111
HRH,0.0300
HRH,2.6250
HRH,3.6667
HRH,2.1111
HRH,5.8889
HRH,1.3750
HRH,1.3750
ARH,24.3333
HRH,5.0000
HRH,7.6250
HRH,2.5000
HRH,1.8889
HRH,4.1667
HRH,44.0000
HRH,2.0556
ARH,15.2667
ARH,10.2222
ARH,8.5000
HRH,3.6667
HRH,1.7778
HRH,2.0000
ARH,17.5455
HRH,5.6667
HRH,2.1111
ARH,25.6250
HRH,3.1111
ARH,25.5455
HRH,7.3333
