Category,Step,Role,Reach,Loop_Count,Loop_Prob,Loop_Avg,One_Turn_Count,One_Turn_Pct,Multi_Turn_Count,Multi_Turn_Pct,Merge_Count,Merge_Prob,Unmerge_Count,Unmerge_Prob,Next_Role,Next_Count,Next_Prob
HRA,0,AC,6519,0,,,6519,100.0%,0,0.0%,0,,0,,H,6519,87.5%
HRA,1,H,6519,1255,,1.2,5649,86.7%,870,13.3%,1837,28.2%,353,5.4%,A,4329,66.4%
HRA,2,A,4329,93,,1.0,4237,97.9%,92,2.1%,3199,73.9%,857,19.8%,H,273,6.3%
HRA,3,H,273,51,,1.2,237,86.8%,36,13.2%,59,21.6%,8,2.9%,A,206,75.5%
HRA,4,A,206,16,,1.1,190,92.2%,16,7.8%,132,64.1%,34,16.5%,H,40,19.4%
HRA,5,H,40,10,,1.2,32,80.0%,8,20.0%,7,17.5%,2,5.0%,A,31,77.5%
HRA,6,A,31,0,,,31,100.0%,0,0.0%,13,41.9%,8,25.8%,H,10,32.3%
ARA,0,AC,928,0,,,928,100.0%,0,0.0%,0,,0,,A,928,12.5%
ARA,1,A,928,21,,1.0,907,97.7%,21,2.3%,669,72.1%,136,14.7%,H,123,13.3%
ARA,2,H,123,8,,1.1,118,95.9%,5,4.1%,90,73.2%,5,4.1%,A,28,22.8%
ARA,3,A,28,1,,1.0,27,96.4%,1,3.6%,22,78.6%,2,7.1%,H,4,14.3%
