Taxonomy,HRH,HRH,HRH,HRA,HRA,HRA,ARH,ARH,ARH,ARA,ARA,ARA
,R,AvgC,>1C,R,AvgC,>1C,R,AvgC,>1C,R,AvgC,>1C
Understanding,1,2.1,69.0,1,2.3,79.0,1,1.2,19.4,,,
"External
Impact",2,2.0,56.1,,,,1,1.2,15.6,,,
Defects,2,1.9,54.1,2,2.1,80.8,1,1.3,17.0,1,1.2,14.8
Testing,2,1.8,53.8,2,2.0,81.6,1,1.2,13.1,,,
"Code
Improvement",3,1.6,39.2,3,1.9,75.3,1,1.2,12.4,1,1.2,16.6
"Knowledge
Transfer",3,1.5,33.2,3,1.8,58.4,1,1.2,11.9,,,
"Social
Communication",4,1.4,26.8,3,1.9,75.8,,,,,,
Misc,,1.2,17.5,,1.3,26.8,,,,,,
"No
feedback",,1.2,12.0,,,,,,,,,
