repo,pr_number,convo_start_id,is_merged,rejection_category
dotnet/aspnetcore,63256,2277060123,Yes,Incorrect Suggestion
wso2/carbon-identity-framework,7290,2312427113,Yes,Incorrect Suggestion
Azure/azure-sdk-for-net,49320,2080766778,Yes,Deferred
projectcalico/calico,10915,2319157537,Yes,Developer Preference
youtube/cobalt,6952,2294270323,Yes,Developer Preference
Azure/azure-sdk-for-python,42268,2241577435,Yes,Not Needed
Azure/azure-sdk-for-net,51827,2262125418,Yes,Alternative Fix
wso2/carbon-apimgt,13116,2102383906,Yes,Not Needed
Azure/azure-cli,31869,2234917937,Yes,Not Needed
Azure/azure-cli-extensions,9199,2367273031,Yes,Incorrect Suggestion
wso2/carbon-apimgt,13345,2320910781,No,Alternative Fix
wso2/carbon-apimgt,13278,2278462020,Yes,Incorrect Suggestion
wso2/carbon-identity-framework,7563,2442753542,Yes,Incorrect Suggestion
youtube/cobalt,6300,2182259908,No,Incorrect Suggestion
projectcalico/calico,11288,2472691078,Yes,Incorrect Suggestion
wso2/carbon-identity-framework,7377,2339789985,Yes,Not Needed
Azure/azure-sdk-for-python,43188,2403409465,Yes,Others
Agoric/agoric-sdk,12015,2384459266,Yes,Developer Preference
wso2/carbon-apimgt,13357,2329848003,Yes,Developer Preference
Altinn/altinn-studio,16555,2425572493,Yes,Deferred
youtube/cobalt,6342,2193986421,No,Developer Preference
wso2/carbon-apimgt,13191,2232268697,Yes,Claimed Fixed (Unverified)
Azure/azure-sdk-for-net,53279,2434786621,Yes,Incorrect Suggestion
Azure/azure-sdk-for-net,50157,2097256698,Yes,Deferred
wso2/carbon-apimgt,13139,2131924938,Yes,Alternative Fix
Azure/azure-functions-host,11435,2437561207,Yes,Developer Preference
wso2/carbon-apimgt,13380,2340666927,Yes,Incorrect Suggestion
wso2/carbon-apimgt,13271,2275626565,Yes,Incorrect Suggestion
wso2/carbon-apimgt,13436,2390567276,Yes,Developer Preference
Azure/azure-cli-extensions,8905,2168196527,Yes,Alternative Fix
wordpress-mobile/WordPress-Android,22071,2243602357,Yes,Alternative Fix
wso2/carbon-apimgt,13191,2265368743,Yes,Incorrect Suggestion
