repo,pr_number,part_file_number,pr_author,convo_id,comment_count,turn_type,review_category,initial_turn_result,comment_chain_roles,LOC,LOC_src,LOC_no_blank,token_init_comment
APSIMInitiative/ApsimX,10282,,Human(ilhuber),2335051657,2,multi-turn,Agent_Review_Human,,Agent(Copilot) -> Human(ilhuber),21,diff_hunk,15,38
APSIMInitiative/ApsimX,10282,,Human(ilhuber),2335051663,2,multi-turn,Agent_Review_Human,,Agent(Copilot) -> Human(ilhuber),61,diff_hunk,9,44
APSIMInitiative/ApsimX,10282,,Human(ilhuber),2335051667,2,multi-turn,Agent_Review_Human,,Agent(Copilot) -> Human(ilhuber),68,diff_hunk,9,38
APSIMInitiative/ApsimX,10344,,Human(sno036),2314781953,2,multi-turn,Agent_Review_Human,,Agent(Copilot) -> Human(sno036),5,diff_hunk,8,39
APSIMInitiative/ApsimX,10344,,Human(sno036),2314781961,2,multi-turn,Agent_Review_Human,,Agent(Copilot) -> Human(sno036),5,diff_hunk,8,38
APSIMInitiative/ApsimX,10344,,Human(sno036),2314781963,2,multi-turn,Agent_Review_Human,,Agent(Copilot) -> Human(sno036),167,diff_hunk,9,50
APSIMInitiative/ApsimX,10344,,Human(sno036),2314781966,2,multi-turn,Agent_Review_Human,,Agent(Copilot) -> Human(sno036),220,diff_hunk,8,38
APSIMInitiative/ApsimX,10344,,Human(sno036),2314781977,2,multi-turn,Agent_Review_Human,,Agent(Copilot) -> Human(sno036),226,diff_hunk,8,32
APSIMInitiative/ApsimX,10344,,Human(sno036),2314781980,2,multi-turn,Agent_Review_Human,,Agent(Copilot) -> Human(sno036),15,diff_hunk,8,50
APSIMInitiative/ApsimX,10344,,Human(sno036),2314781987,2,multi-turn,Agent_Review_Human,,Agent(Copilot) -> Human(sno036),16,diff_hunk,9,80
APSIMInitiative/ApsimX,10344,,Human(sno036),2314781992,2,multi-turn,Agent_Review_Human,,Agent(Copilot) -> Human(sno036),28,diff_hunk,9,84
APSIMInitiative/ApsimX,10344,,Human(sno036),2314781996,2,multi-turn,Agent_Review_Human,,Agent(Copilot) -> Human(sno036),63,diff_hunk,9,62
APSIMInitiative/ApsimX,10344,,Human(sno036),2314782001,2,multi-turn,Agent_Review_Human,,Agent(Copilot) -> Human(sno036),77,diff_hunk,9,48
APSIMInitiative/ApsimX,10359,,Human(HamishBrownPFR),2299354815,2,multi-turn,Agent_Review_Human,,Agent(Copilot) -> Human(HamishBrownPFR),60,diff_hunk,9,35
APSIMInitiative/ApsimX,10359,,Human(HamishBrownPFR),2299354825,3,multi-turn,Agent_Review_Human,,Agent(Copilot) -> Human(HamishBrownPFR) -> Human(ric394),44,diff_hunk,9,104
APSIMInitiative/ApsimX,10359,,Human(HamishBrownPFR),2299354836,2,multi-turn,Agent_Review_Human,,Agent(Copilot) -> Human(HamishBrownPFR),27,diff_hunk,9,70
APSIMInitiative/ApsimX,10359,,Human(HamishBrownPFR),2299354840,2,multi-turn,Agent_Review_Human,,Agent(Copilot) -> Human(HamishBrownPFR),54,diff_hunk,9,27
APSIMInitiative/ApsimX,10359,,Human(HamishBrownPFR),2299354843,2,multi-turn,Agent_Review_Human,,Agent(Copilot) -> Human(HamishBrownPFR),44,diff_hunk,11,129
APSIMInitiative/ApsimX,10359,,Human(HamishBrownPFR),2320474449,2,multi-turn,Human_Review_Human,,Human(hut104) -> Human(HamishBrownPFR),5,diff_hunk,9,38
APSIMInitiative/ApsimX,10359,,Human(HamishBrownPFR),2320474865,1,single-turn,Human_Review_Human,,Human(hut104),2,diff_hunk,8,6
APSIMInitiative/ApsimX,10359,,Human(HamishBrownPFR),2320479128,2,multi-turn,Human_Review_Human,,Human(hut104) -> Human(HamishBrownPFR),8,diff_hunk,9,22
APSIMInitiative/ApsimX,10359,,Human(HamishBrownPFR),2320494614,2,multi-turn,Human_Review_Human,,Human(hut104) -> Human(HamishBrownPFR),12,diff_hunk,9,19
APSIMInitiative/ApsimX,10359,,Human(HamishBrownPFR),2320501170,3,multi-turn,Human_Review_Human,,Human(hut104) -> Human(HamishBrownPFR) -> Human(HamishBrownPFR),15,diff_hunk,9,79
APSIMInitiative/ApsimX,10359,,Human(HamishBrownPFR),2338191440,2,multi-turn,Agent_Review_Human,,Agent(Copilot) -> Human(HamishBrownPFR),11,diff_hunk,9,43
