repo,pr_number,convo_start_id,pr_author_category,pr_author,reviewer_login,reviewer_category,reviewer_role,review_category,LOC,LOC_no_blank,LOC_src,part_file_number,token_init_comment
APSIMInitiative/ApsimX,10282,2335051657,Human,Human(ilhuber),Copilot,Agent,Agent(Copilot),Agent_Review_Human,21,15,diff_hunk,,38
APSIMInitiative/ApsimX,10282,2335051663,Human,Human(ilhuber),Copilot,Agent,Agent(Copilot),Agent_Review_Human,61,9,diff_hunk,,44
APSIMInitiative/ApsimX,10282,2335051667,Human,Human(ilhuber),Copilot,Agent,Agent(Copilot),Agent_Review_Human,68,9,diff_hunk,,38
APSIMInitiative/ApsimX,10344,2314781953,Human,Human(sno036),Copilot,Agent,Agent(Copilot),Agent_Review_Human,5,8,diff_hunk,,39
APSIMInitiative/ApsimX,10344,2314781961,Human,Human(sno036),Copilot,Agent,Agent(Copilot),Agent_Review_Human,5,8,diff_hunk,,38
APSIMInitiative/ApsimX,10344,2314781963,Human,Human(sno036),Copilot,Agent,Agent(Copilot),Agent_Review_Human,167,9,diff_hunk,,50
APSIMInitiative/ApsimX,10344,2314781966,Human,Human(sno036),Copilot,Agent,Agent(Copilot),Agent_Review_Human,220,8,diff_hunk,,38
APSIMInitiative/ApsimX,10344,2314781977,Human,Human(sno036),Copilot,Agent,Agent(Copilot),Agent_Review_Human,226,8,diff_hunk,,32
APSIMInitiative/ApsimX,10344,2314781980,Human,Human(sno036),Copilot,Agent,Agent(Copilot),Agent_Review_Human,15,8,diff_hunk,,50
APSIMInitiative/ApsimX,10344,2314781987,Human,Human(sno036),Copilot,Agent,Agent(Copilot),Agent_Review_Human,16,9,diff_hunk,,80
APSIMInitiative/ApsimX,10344,2314781992,Human,Human(sno036),Copilot,Agent,Agent(Copilot),Agent_Review_Human,28,9,diff_hunk,,84
APSIMInitiative/ApsimX,10344,2314781996,Human,Human(sno036),Copilot,Agent,Agent(Copilot),Agent_Review_Human,63,9,diff_hunk,,62
APSIMInitiative/ApsimX,10344,2314782001,Human,Human(sno036),Copilot,Agent,Agent(Copilot),Agent_Review_Human,77,9,diff_hunk,,48
APSIMInitiative/ApsimX,10359,2299354815,Human,Human(HamishBrownPFR),Copilot,Agent,Agent(Copilot),Agent_Review_Human,60,9,diff_hunk,,35
APSIMInitiative/ApsimX,10359,2299354825,Human,Human(HamishBrownPFR),Copilot,Agent,Agent(Copilot),Agent_Review_Human,44,9,diff_hunk,,104
APSIMInitiative/ApsimX,10359,2299354836,Human,Human(HamishBrownPFR),Copilot,Agent,Agent(Copilot),Agent_Review_Human,27,9,diff_hunk,,70
APSIMInitiative/ApsimX,10359,2299354840,Human,Human(HamishBrownPFR),Copilot,Agent,Agent(Copilot),Agent_Review_Human,54,9,diff_hunk,,27
APSIMInitiative/ApsimX,10359,2299354843,Human,Human(HamishBrownPFR),Copilot,Agent,Agent(Copilot),Agent_Review_Human,44,11,diff_hunk,,129
APSIMInitiative/ApsimX,10359,2320474449,Human,Human(HamishBrownPFR),hut104,Human,Human(hut104),Human_Review_Human,5,9,diff_hunk,,38
APSIMInitiative/ApsimX,10359,2320474865,Human,Human(HamishBrownPFR),hut104,Human,Human(hut104),Human_Review_Human,2,8,diff_hunk,,6
APSIMInitiative/ApsimX,10359,2320479128,Human,Human(HamishBrownPFR),hut104,Human,Human(hut104),Human_Review_Human,8,9,diff_hunk,,22
APSIMInitiative/ApsimX,10359,2320494614,Human,Human(HamishBrownPFR),hut104,Human,Human(hut104),Human_Review_Human,12,9,diff_hunk,,19
APSIMInitiative/ApsimX,10359,2320501170,Human,Human(HamishBrownPFR),hut104,Human,Human(hut104),Human_Review_Human,15,9,diff_hunk,,79
APSIMInitiative/ApsimX,10359,2338191440,Human,Human(HamishBrownPFR),Copilot,Agent,Agent(Copilot),Agent_Review_Human,11,9,diff_hunk,,43
APSIMInitiative/ApsimX,10359,2338191461,Human,Human(HamishBrownPFR),Copilot,Agent,Agent(Copilot),Agent_Review_Human,17,9,diff_hunk,,33
APSIMInitiative/ApsimX,10359,2338191476,Human,Human(HamishBrownPFR),Copilot,Agent,Agent(Copilot),Agent_Review_Human,25,8,diff_hunk,,33
APSIMInitiative/ApsimX,10359,2338191487,Human,Human(HamishBrownPFR),Copilot,Agent,Agent(Copilot),Agent_Review_Human,110,9,diff_hunk,,55
APSIMInitiative/ApsimX,10359,2350647150,Human,Human(HamishBrownPFR),par456,Human,Human(par456),Human_Review_Human,50,9,diff_hunk,,23
APSIMInitiative/ApsimX,10359,2350648921,Human,Human(HamishBrownPFR),par456,Human,Human(par456),Human_Review_Human,31,9,diff_hunk,,17
APSIMInitiative/ApsimX,10359,2350649765,Human,Human(HamishBrownPFR),par456,Human,Human(par456),Human_Review_Human,29,8,diff_hunk,,5
APSIMInitiative/ApsimX,10359,2350651673,Human,Human(HamishBrownPFR),par456,Human,Human(par456),Human_Review_Human,26,8,diff_hunk,,25
APSIMInitiative/ApsimX,10359,2350665342,Human,Human(HamishBrownPFR),par456,Human,Human(par456),Human_Review_Human,44,9,diff_hunk,,92
APSIMInitiative/ApsimX,10359,2350666503,Human,Human(HamishBrownPFR),par456,Human,Human(par456),Human_Review_Human,63,8,diff_hunk,,6
APSIMInitiative/ApsimX,10359,2350668324,Human,Human(HamishBrownPFR),par456,Human,Human(par456),Human_Review_Human,70,9,diff_hunk,,10
APSIMInitiative/ApsimX,10359,2350673740,Human,Human(HamishBrownPFR),par456,Human,Human(par456),Human_Review_Human,105,9,diff_hunk,,15
APSIMInitiative/ApsimX,10359,2350677653,Human,Human(HamishBrownPFR),par456,Human,Human(par456),Human_Review_Human,122,7,diff_hunk,,23
APSIMInitiative/ApsimX,10359,2350685277,Human,Human(HamishBrownPFR),par456,Human,Human(par456),Human_Review_Human,34,9,diff_hunk,,12
APSIMInitiative/ApsimX,10359,2350686658,Human,Human(HamishBrownPFR),par456,Human,Human(par456),Human_Review_Human,5,8,diff_hunk,,12
APSIMInitiative/ApsimX,10359,2350690233,Human,Human(HamishBrownPFR),par456,Human,Human(par456),Human_Review_Human,2,8,diff_hunk,,36
APSIMInitiative/ApsimX,10363,2299353677,Human,Human(BrianCollinss),Copilot,Agent,Agent(Copilot),Agent_Review_Human,17,11,diff_hunk,,178
