repo,pr_number,convo_start_id,review_category,category,LOC_no_blank,token_init_comment,CD
APSIMInitiative/ApsimX,10282,2335051657,Agent_Review_Human,ARH,15.0,38.0,2.5333
APSIMInitiative/ApsimX,10282,2335051663,Agent_Review_Human,ARH,9.0,44.0,4.8889
APSIMInitiative/ApsimX,10282,2335051667,Agent_Review_Human,ARH,9.0,38.0,4.2222
APSIMInitiative/ApsimX,10344,2314781953,Agent_Review_Human,ARH,8.0,39.0,4.875
APSIMInitiative/ApsimX,10344,2314781961,Agent_Review_Human,ARH,8.0,38.0,4.75
APSIMInitiative/ApsimX,10344,2314781963,Agent_Review_Human,ARH,9.0,50.0,5.5556
APSIMInitiative/ApsimX,10344,2314781966,Agent_Review_Human,ARH,8.0,38.0,4.75
APSIMInitiative/ApsimX,10344,2314781977,Agent_Review_Human,ARH,8.0,32.0,4.0
APSIMInitiative/ApsimX,10344,2314781980,Agent_Review_Human,ARH,8.0,50.0,6.25
APSIMInitiative/ApsimX,10344,2314781987,Agent_Review_Human,ARH,9.0,80.0,8.8889
APSIMInitiative/ApsimX,10344,2314781992,Agent_Review_Human,ARH,9.0,84.0,9.3333
APSIMInitiative/ApsimX,10344,2314781996,Agent_Review_Human,ARH,9.0,62.0,6.8889
APSIMInitiative/ApsimX,10344,2314782001,Agent_Review_Human,ARH,9.0,48.0,5.3333
APSIMInitiative/ApsimX,10359,2299354815,Agent_Review_Human,ARH,9.0,35.0,3.8889
APSIMInitiative/ApsimX,10359,2299354825,Agent_Review_Human,ARH,9.0,104.0,11.5556
APSIMInitiative/ApsimX,10359,2299354836,Agent_Review_Human,ARH,9.0,70.0,7.7778
APSIMInitiative/ApsimX,10359,2299354840,Agent_Review_Human,ARH,9.0,27.0,3.0
APSIMInitiative/ApsimX,10359,2299354843,Agent_Review_Human,ARH,11.0,129.0,11.7273
APSIMInitiative/ApsimX,10359,2320474449,Human_Review_Human,HRH,9.0,38.0,4.2222
APSIMInitiative/ApsimX,10359,2320474865,Human_Review_Human,HRH,8.0,6.0,0.75
APSIMInitiative/ApsimX,10359,2320479128,Human_Review_Human,HRH,9.0,22.0,2.4444
APSIMInitiative/ApsimX,10359,2320494614,Human_Review_Human,HRH,9.0,19.0,2.1111
APSIMInitiative/ApsimX,10359,2320501170,Human_Review_Human,HRH,9.0,79.0,8.7778
APSIMInitiative/ApsimX,10359,2338191440,Agent_Review_Human,ARH,9.0,43.0,4.7778
APSIMInitiative/ApsimX,10359,2338191461,Agent_Review_Human,ARH,9.0,33.0,3.6667
APSIMInitiative/ApsimX,10359,2338191476,Agent_Review_Human,ARH,8.0,33.0,4.125
APSIMInitiative/ApsimX,10359,2338191487,Agent_Review_Human,ARH,9.0,55.0,6.1111
APSIMInitiative/ApsimX,10359,2350647150,Human_Review_Human,HRH,9.0,23.0,2.5556
APSIMInitiative/ApsimX,10359,2350648921,Human_Review_Human,HRH,9.0,17.0,1.8889
APSIMInitiative/ApsimX,10359,2350649765,Human_Review_Human,HRH,8.0,5.0,0.625
APSIMInitiative/ApsimX,10359,2350651673,Human_Review_Human,HRH,8.0,25.0,3.125
APSIMInitiative/ApsimX,10359,2350665342,Human_Review_Human,HRH,9.0,92.0,10.2222
APSIMInitiative/ApsimX,10359,2350666503,Human_Review_Human,HRH,8.0,6.0,0.75
APSIMInitiative/ApsimX,10359,2350668324,Human_Review_Human,HRH,9.0,10.0,1.1111
APSIMInitiative/ApsimX,10359,2350673740,Human_Review_Human,HRH,9.0,15.0,1.6667
APSIMInitiative/ApsimX,10359,2350677653,Human_Review_Human,HRH,7.0,23.0,3.2857
APSIMInitiative/ApsimX,10359,2350685277,Human_Review_Human,HRH,9.0,12.0,1.3333
APSIMInitiative/ApsimX,10359,2350686658,Human_Review_Human,HRH,8.0,12.0,1.5
APSIMInitiative/ApsimX,10359,2350690233,Human_Review_Human,HRH,8.0,36.0,4.5
APSIMInitiative/ApsimX,10363,2299353677,Agent_Review_Human,ARH,11.0,178.0,16.1818
APSIMInitiative/ApsimX,10363,2299353691,Agent_Review_Human,ARH,8.0,107.0,13.375
APSIMInitiative/ApsimX,10363,2299353697,Agent_Review_Human,ARH,9.0,33.0,3.6667
APSIMInitiative/ApsimX,10363,2317434616,Human_Review_Human,HRH,9.0,35.0,3.8889
APSIMInitiative/ApsimX,10363,2317436589,Human_Review_Human,HRH,8.0,20.0,2.5
APSIMInitiative/ApsimX,10363,2317441257,Human_Review_Human,HRH,8.0,39.0,4.875
APSIMInitiative/ApsimX,10363,2357361497,Agent_Review_Human,ARH,7.0,14.0,2.0
APSIMInitiative/ApsimX,10365,2299819973,Agent_Review_Human,ARH,9.0,56.0,6.2222
APSIMInitiative/ApsimX,10365,2299819987,Agent_Review_Human,ARH,15.0,148.0,9.8667
APSIMInitiative/ApsimX,10365,2299820002,Agent_Review_Human,ARH,9.0,34.0,3.7778
APSIMInitiative/ApsimX,10369,2299669299,Agent_Review_Human,ARH,9.0,57.0,6.3333
APSIMInitiative/ApsimX,10371,2302777197,Agent_Review_Human,ARH,8.0,38.0,4.75
APSIMInitiative/ApsimX,10371,2302777205,Agent_Review_Human,ARH,8.0,38.0,4.75
APSIMInitiative/ApsimX,10371,2302777207,Agent_Review_Human,ARH,9.0,42.0,4.6667
APSIMInitiative/ApsimX,10372,2302750663,Human_Review_Human,HRH,8.0,5.0,0.625
APSIMInitiative/ApsimX,10372,2302753248,Human_Review_Human,HRH,9.0,30.0,3.3333
APSIMInitiative/ApsimX,10372,2302767661,Agent_Review_Human,ARH,8.0,31.0,3.875
APSIMInitiative/ApsimX,10372,2302767665,Agent_Review_Human,ARH,9.0,69.0,7.6667
APSIMInitiative/ApsimX,10372,2302767669,Agent_Review_Human,ARH,17.0,205.0,12.0588
APSIMInitiative/ApsimX,10372,2302767673,Agent_Review_Human,ARH,9.0,76.0,8.4444
APSIMInitiative/ApsimX,10372,2302767680,Agent_Review_Human,ARH,9.0,89.0,9.8889
APSIMInitiative/ApsimX,10374,2302777252,Agent_Review_Human,ARH,8.0,42.0,5.25
APSIMInitiative/ApsimX,10374,2302777263,Agent_Review_Human,ARH,10.0,97.0,9.7
APSIMInitiative/ApsimX,10374,2302777271,Agent_Review_Human,ARH,9.0,65.0,7.2222
APSIMInitiative/ApsimX,10374,2302777278,Agent_Review_Human,ARH,10.0,87.0,8.7
APSIMInitiative/ApsimX,10374,2302777284,Agent_Review_Human,ARH,9.0,65.0,7.2222
APSIMInitiative/ApsimX,10374,2302777286,Agent_Review_Human,ARH,9.0,55.0,6.1111
APSIMInitiative/ApsimX,10374,2302777294,Agent_Review_Human,ARH,9.0,35.0,3.8889
APSIMInitiative/ApsimX,10374,2302777300,Agent_Review_Human,ARH,9.0,69.0,7.6667
APSIMInitiative/ApsimX,10376,2302807403,Agent_Review_Human,ARH,8.0,48.0,6.0
APSIMInitiative/ApsimX,10376,2302807410,Agent_Review_Human,ARH,8.0,100.0,12.5
APSIMInitiative/ApsimX,10400,2312721089,Agent_Review_Human,ARH,9.0,18.0,2.0
APSIMInitiative/ApsimX,10400,2312721092,Agent_Review_Human,ARH,9.0,20.0,2.2222
APSIMInitiative/ApsimX,10400,2312721094,Agent_Review_Human,ARH,25.0,53.0,2.12
APSIMInitiative/ApsimX,10401,2324021620,Agent_Review_Human,ARH,9.0,48.0,5.3333
APSIMInitiative/ApsimX,10401,2324021630,Agent_Review_Human,ARH,9.0,48.0,5.3333
APSIMInitiative/ApsimX,10401,2324021632,Agent_Review_Human,ARH,9.0,81.0,9.0
APSIMInitiative/ApsimX,10401,2324021637,Agent_Review_Human,ARH,13.0,27.0,2.0769
APSIMInitiative/ApsimX,10416,2320782906,Human_Review_Human,HRH,8.0,3.0,0.375
APSIMInitiative/ApsimX,10416,2320787089,Human_Review_Human,HRH,94.0,14.0,0.1489
APSIMInitiative/ApsimX,10416,2320871411,Agent_Review_Human,ARH,9.0,23.0,2.5556
APSIMInitiative/ApsimX,10416,2320871420,Agent_Review_Human,ARH,9.0,36.0,4.0
APSIMInitiative/ApsimX,10416,2320871429,Agent_Review_Human,ARH,8.0,52.0,6.5
APSIMInitiative/ApsimX,10416,2320871437,Agent_Review_Human,ARH,9.0,61.0,6.7778
APSIMInitiative/ApsimX,10421,2323770970,Agent_Review_Human,ARH,9.0,37.0,4.1111
APSIMInitiative/ApsimX,10425,2324225652,Agent_Review_Human,ARH,9.0,19.0,2.1111
APSIMInitiative/ApsimX,10425,2324225661,Agent_Review_Human,ARH,9.0,49.0,5.4444
APSIMInitiative/ApsimX,10426,2328980779,Agent_Review_Human,ARH,6.0,60.0,10.0
APSIMInitiative/ApsimX,10426,2328980784,Agent_Review_Human,ARH,9.0,40.0,4.4444
APSIMInitiative/ApsimX,10430,2328986332,Agent_Review_Human,ARH,9.0,48.0,5.3333
APSIMInitiative/ApsimX,10430,2328986344,Agent_Review_Human,ARH,9.0,99.0,11.0
APSIMInitiative/ApsimX,10444,2335692144,Agent_Review_Human,ARH,9.0,28.0,3.1111
APSIMInitiative/ApsimX,10444,2335692159,Agent_Review_Human,ARH,8.0,57.0,7.125
APSIMInitiative/ApsimX,10444,2335692170,Agent_Review_Human,ARH,8.0,53.0,6.625
APSIMInitiative/ApsimX,10444,2335692183,Agent_Review_Human,ARH,8.0,50.0,6.25
APSIMInitiative/ApsimX,10444,2335692193,Agent_Review_Human,ARH,15.0,127.0,8.4667
APSIMInitiative/ApsimX,10444,2335692203,Agent_Review_Human,ARH,8.0,120.0,15.0
APSIMInitiative/ApsimX,10455,2342786484,Agent_Review_Human,ARH,9.0,60.0,6.6667
APSIMInitiative/ApsimX,10456,2342961184,Agent_Review_Human,ARH,10.0,27.0,2.7
APSIMInitiative/ApsimX,10456,2342961208,Agent_Review_Human,ARH,10.0,38.0,3.8
APSIMInitiative/ApsimX,10456,2342961216,Agent_Review_Human,ARH,29.0,35.0,1.2069
