repo,pr_number,thread_id,pr_author,pr_created_at,comment_count,turn_type,review_category,turn_sequence_roles,comment_sequence,max_gap_hours,first_response_hours,agent_suggestion_present,mentioned_files,linked_commits,linked_commit_windows,pr_merged,pr_merge_timestamp,pr_closed_at
APSIMInitiative/ApsimX,10282,2335051657,Human(ilhuber),2025-08-08T22:08:00+00:00,2,multi-turn,Agent_Review_Human,H(PR)->A->H,"Agent(Copilot,2335051657,2025-09-09T23:10:24+00:00,created)->Human(ilhuber,2349578470,2025-09-15T16:46:41+00:00,created)",137.605,769.040,false,,,,true,2025-09-22T02:04:26Z,2025-09-22T02:04:26+00:00
APSIMInitiative/ApsimX,10282,2335051663,Human(ilhuber),2025-08-08T22:08:00+00:00,2,multi-turn,Agent_Review_Human,H(PR)->A->H,"Agent(Copilot,2335051663,2025-09-09T23:10:24+00:00,created)->Human(ilhuber,2349579212,2025-09-15T16:47:03+00:00,created)",137.611,769.040,false,,,,true,2025-09-22T02:04:26Z,2025-09-22T02:04:26+00:00
APSIMInitiative/ApsimX,10282,2335051667,Human(ilhuber),2025-08-08T22:08:00+00:00,2,multi-turn,Agent_Review_Human,H(PR)->A->H,"Agent(Copilot,2335051667,2025-09-09T23:10:25+00:00,created)->Human(ilhuber,2337460047,2025-09-10T17:33:27+00:00,created)",18.384,769.040,false,,,,true,2025-09-22T02:04:26Z,2025-09-22T02:04:26+00:00
APSIMInitiative/ApsimX,10344,2314781953,Human(sno036),2025-08-21T23:34:06+00:00,2,multi-turn,Agent_Review_Human,H(PR)->A->H,"Agent(Copilot,2314781953,2025-09-02T02:29:11+00:00,created)->Human(sno036,2314859408,2025-09-02T04:03:58+00:00,created)",1.580,266.918,true,,,,false,,2025-09-09T03:29:09+00:00
APSIMInitiative/ApsimX,10344,2314781961,Human(sno036),2025-08-21T23:34:06+00:00,2,multi-turn,Agent_Review_Human,H(PR)->A->H,"Agent(Copilot,2314781961,2025-09-02T02:29:12+00:00,created)->Human(sno036,2314859753,2025-09-02T04:04:18+00:00,created)",1.585,266.918,true,,,,false,,2025-09-09T03:29:09+00:00
APSIMInitiative/ApsimX,10344,2314781963,Human(sno036),2025-08-21T23:34:06+00:00,2,multi-turn,Agent_Review_Human,H(PR)->A->H,"Agent(Copilot,2314781963,2025-09-02T02:29:12+00:00,created)->Human(sno036,2314861071,2025-09-02T04:05:47+00:00,created)",1.610,266.918,true,,,,false,,2025-09-09T03:29:09+00:00
APSIMInitiative/ApsimX,10344,2314781966,Human(sno036),2025-08-21T23:34:06+00:00,2,multi-turn,Agent_Review_Human,H(PR)->A->H,"Agent(Copilot,2314781966,2025-09-02T02:29:12+00:00,created)->Human(sno036,2314861310,2025-09-02T04:06:04+00:00,created)",1.614,266.918,true,,,,false,,2025-09-09T03:29:09+00:00
APSIMInitiative/ApsimX,10344,2314781977,Human(sno036),2025-08-21T23:34:06+00:00,2,multi-turn,Agent_Review_Human,H(PR)->A->H,"Agent(Copilot,2314781977,2025-09-02T02:29:12+00:00,created)->Human(sno036,2314861768,2025-09-02T04:06:36+00:00,created)",1.623,266.918,true,,,,false,,2025-09-09T03:29:09+00:00
APSIMInitiative/ApsimX,10344,2314781980,Human(sno036),2025-08-21T23:34:06+00:00,2,multi-turn,Agent_Review_Human,H(PR)->A->H,"Agent(Copilot,2314781980,2025-09-02T02:29:13+00:00,created)->Human(sno036,2314871346,2025-09-02T04:18:08+00:00,created)",1.815,266.919,true,,,,false,,2025-09-09T03:29:09+00:00
APSIMInitiative/ApsimX,10344,2314781987,Human(sno036),2025-08-21T23:34:06+00:00,2,multi-turn,Agent_Review_Human,H(PR)->A->H,"Agent(Copilot,2314781987,2025-09-02T02:29:13+00:00,created)->Human(sno036,2314872787,2025-09-02T04:19:36+00:00,created)",1.840,266.919,true,,,,false,,2025-09-09T03:29:09+00:00
APSIMInitiative/ApsimX,10344,2314781992,Human(sno036),2025-08-21T23:34:06+00:00,2,multi-turn,Agent_Review_Human,H(PR)->A->H,"Agent(Copilot,2314781992,2025-09-02T02:29:13+00:00,created)->Human(sno036,2314874325,2025-09-02T04:21:08+00:00,created)",1.865,266.919,true,,,,false,,2025-09-09T03:29:09+00:00
APSIMInitiative/ApsimX,10344,2314781996,Human(sno036),2025-08-21T23:34:06+00:00,2,multi-turn,Agent_Review_Human,H(PR)->A->H,"Agent(Copilot,2314781996,2025-09-02T02:29:13+00:00,created)->Human(sno036,2314865497,2025-09-02T04:11:19+00:00,created)",1.702,266.919,false,,,,false,,2025-09-09T03:29:09+00:00
APSIMInitiative/ApsimX,10344,2314782001,Human(sno036),2025-08-21T23:34:06+00:00,2,multi-turn,Agent_Review_Human,H(PR)->A->H,"Agent(Copilot,2314782001,2025-09-02T02:29:14+00:00,created)->Human(sno036,2314875719,2025-09-02T04:22:23+00:00,created)",1.886,266.919,false,,,,false,,2025-09-09T03:29:09+00:00
APSIMInitiative/ApsimX,10359,2299354815,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,2,multi-turn,Agent_Review_Human,H(PR)->A->H,"Agent(Copilot,2299354815,2025-08-25T23:31:32+00:00,created)->Human(HamishBrownPFR,2299675399,2025-08-26T03:48:11+00:00,created)",4.277,17.909,false,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
APSIMInitiative/ApsimX,10359,2299354825,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,3,multi-turn,Agent_Review_Human,H(PR)->A->H->H,"Agent(Copilot,2299354825,2025-08-25T23:31:32+00:00,created)->Human(HamishBrownPFR,2299673767,2025-08-26T03:46:39+00:00,created)->Human(ric394,2299741337,2025-08-26T04:42:15+00:00,created)",4.252,17.909,true,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
APSIMInitiative/ApsimX,10359,2299354836,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,2,multi-turn,Agent_Review_Human,H(PR)->A->H,"Agent(Copilot,2299354836,2025-08-25T23:31:33+00:00,created)->Human(HamishBrownPFR,2299671139,2025-08-26T03:44:13+00:00,created)",4.211,17.910,true,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
APSIMInitiative/ApsimX,10359,2299354840,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,2,multi-turn,Agent_Review_Human,H(PR)->A->H,"Agent(Copilot,2299354840,2025-08-25T23:31:33+00:00,created)->Human(HamishBrownPFR,2299668363,2025-08-26T03:41:24+00:00,created)",4.164,17.910,true,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
APSIMInitiative/ApsimX,10359,2299354843,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,2,multi-turn,Agent_Review_Human,H(PR)->A->H,"Agent(Copilot,2299354843,2025-08-25T23:31:33+00:00,created)->Human(HamishBrownPFR,2299662161,2025-08-26T03:35:13+00:00,created)",4.061,17.910,true,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
APSIMInitiative/ApsimX,10359,2320474449,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,2,multi-turn,Human_Review_Human,H(PR)->H->H,"Human(hut104,2320474449,2025-09-03T23:32:56+00:00,created)->Human(HamishBrownPFR,2320566052,2025-09-04T01:07:44+00:00,created)",1.580,233.933,false,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
