repo,pr_id,thread_id,path,reviewer_type,review_category,feed_type,lang,language_group,language,final_is_applied,final_similarity,final_before_similarity,final_commit_sha,final_commit_lines,sug_startline,sug_LOC,conf_score,is_pure
APSIMInitiative/ApsimX,10560,2400777243,Tests/UnitTests/CommandLineArgsTests.cs,Agent,ARH,Code Improvement,cs,C#,cs,True,0.928,1.0,cab3cd2,371-371,371,1,9.0,True
APSIMInitiative/ApsimX,10560,2400777250,Models/Core/ConfigFile/ConfigFile.cs,Agent,ARH,Code Improvement,cs,C#,cs,True,0.9474,1.0,6eae453,231-231,231,1,9.0,True
APSIMInitiative/ApsimX,10560,2400777256,Models/Core/ConfigFile/ConfigFile.cs,Agent,ARH,Code Improvement,cs,C#,cs,True,0.9474,1.0,6eae453,231-231,299,1,9.0,True
APSIMInitiative/ApsimX,10655,2450331193,Models/Functions/FrostHeatDamageFunctions.cs,Agent,ARH,Defects,cs,C#,cs,True,0.8737,0.752,f69f458,228-228,228,1,9.0,True
APSIMInitiative/ApsimX,10675,2467799104,ApsimNG/Utility/Excel.cs,Agent,ARH,Defects,cs,C#,cs,True,0.7918,0.6609,c81f1f4,35-40,33,8,9.0,True
APSIMInitiative/ApsimX,10675,2467799112,ApsimNG/Utility/Excel.cs,Agent,ARH,Code Improvement,cs,C#,cs,True,0.9186,0.8784,c81f1f4,43-43,37,1,9.0,True
Adyen/adyen-web,3449,2300958052,packages/e2e-playwright/automated-a11y.config.ts,Agent,ARH,Code Improvement,ts,TypeScript,ts,True,0.9532,0.8443,ec86abe,74-74,74,1,9.0,True
Adyen/adyen-web,3449,2300958062,packages/e2e-playwright/playwright.config.ts,Agent,ARH,Code Improvement,ts,TypeScript,ts,True,0.9532,0.8443,d77ed26,83-83,83,1,9.0,True
Adyen/adyen-web,3499,2325801348,packages/lib/src/components/internal/Address/components/AddressSearch.tsx,Agent,ARH,Code Improvement,tsx,TypeScript,tsx,True,0.9556,0.3283,3c1d770,20-20,20,1,9.0,True
Adyen/adyen-web,3548,2394413638,packages/lib/src/components/Card/constants.ts,Agent,ARH,Code Improvement,ts,TypeScript,ts,True,1.0,0.8126,43d4a04,1-1,1,1,9.0,True
Adyen/adyen-web,3622,2493790628,packages/lib/src/components/Card/stories/Card.stories.tsx,Agent,ARH,Code Improvement,tsx,TypeScript,tsx,True,0.8021,0.8339,7d58790,207-207,207,1,9.0,True
Adyen/adyen-web,3622,2493790637,packages/lib/src/components/Card/stories/Card.stories.tsx,Agent,ARH,Defects,tsx,TypeScript,tsx,True,0.8667,0.6733,7d58790,221-221,221,1,9.0,True
Agoric/agoric-sdk,11964,2373495486,packages/portfolio-contract/src/pos.exo.ts,Human,HRH,Defects,ts,TypeScript,ts,True,0.9923,0.8847,d7ac7c2,71-71,71,1,9.0,True
Altinn/altinn-studio,15228,2062988317,frontend/packages/ux-editor/src/components/config/FormComponentConfig.tsx,Human,HRH,Understanding,tsx,TypeScript,tsx,True,0.6678,0.991,ec44861,356-358,339,4,8.0,True
Altinn/altinn-studio,15231,2106881462,frontend/packages/process-editor/src/components/ConfigPanel/ConfigContent/EditUserControlledImplementation/index.ts,Human,HRH,Code Improvement,ts,TypeScript,ts,True,1.0,0.6094,4445663,1-1,1,1,8.0,True
Altinn/altinn-studio,15231,2106886069,frontend/packages/process-editor/src/components/ConfigPanel/ConfigContent/EditCorrespondenceResource/index.ts,Human,HRH,Understanding,ts,TypeScript,ts,True,0.996,0.6151,0902206,1-1,1,1,7.0,True
Altinn/altinn-studio,15255,2094888604,frontend/app-development/layout/PageHeader/SubHeader/SettingsModalButton/SettingsModal/components/Tabs/AccessControlTab/AccessControlTab.module.css,Human,HRH,Code Improvement,css,CSS,css,True,0.9818,0.6667,15eb710,7-7,7,1,8.0,True
Altinn/altinn-studio,15255,2094889962,frontend/packages/ux-editor/src/containers/DesignView/AddItem/ToggleAddComponentPoc.tsx,Human,HRH,Code Improvement,tsx,TypeScript,tsx,True,0.8636,1.0,15eb710,48-48,48,1,8.0,True
Altinn/altinn-studio,15324,2071128081,backend/src/Designer/TypedHttpClients/AltinnAuthorization/AltinnAuthorizationPolicyClient.cs,Agent,ARH,Code Improvement,cs,C#,cs,True,0.6,1.0,e4c3b73,61-61,53,1,9.0,True
Altinn/altinn-studio,15324,2071235171,backend/src/Designer/TypedHttpClients/AltinnAuthorization/AltinnAuthorizationPolicyClient.cs,Human,HRH,Code Improvement,cs,C#,cs,True,0.9567,0.9371,e4c3b73,58-58,58,1,8.0,True
Altinn/altinn-studio,15324,2071235471,backend/src/Designer/TypedHttpClients/AltinnAuthorization/AltinnAuthorizationPolicyClient.cs,Human,HRH,Code Improvement,cs,C#,cs,True,0.9596,0.9408,e4c3b73,59-59,59,1,8.0,True
Altinn/altinn-studio,15339,2072943531,frontend/libs/studio-content-library/src/ContentLibrary/LibraryBody/LibraryBody.module.css,Human,HRH,Code Improvement,css,CSS,css,True,0.9812,0.6352,5c21da2,3-3,3,1,8.0,True
Altinn/altinn-studio,15344,2075305522,frontend/packages/ux-editor/src/components/TaskNavigation/TaskCard.module.css,Human,HRH,Understanding,css,CSS,css,True,1.0,0.7208,db832e6,12-12,12,1,8.0,True
Altinn/altinn-studio,15385,2076987222,frontend/libs/studio-components/src/components/StudioContentMenu/context/StudioContentMenuContext.tsx,Agent,ARH,Defects,tsx,TypeScript,tsx,True,0.684,0.7167,150321d,9-10,9,2,9.0,True
Altinn/altinn-studio,15448,2111007126,frontend/packages/policy-editor/src/components/ConsentResourcePolicyRulesEditor/ConsentResourcePolicyRulesEditor.tsx,Human,HRH,Code Improvement,tsx,TypeScript,tsx,True,0.5714,1.0,63c831f,160-160,160,1,7.0,True
Altinn/altinn-studio,15448,2111008352,frontend/packages/policy-editor/src/components/ConsentResourcePolicyRulesEditor/ConsentResourcePolicyRulesEditor.tsx,Human,HRH,Code Improvement,tsx,TypeScript,tsx,True,0.8839,1.0,63c831f,162-162,162,1,9.0,True
Altinn/altinn-studio,15495,2139775419,frontend/packages/shared/src/utils/compareFunctions.ts,Human,HRH,Code Improvement,ts,TypeScript,ts,True,0.9902,0.8007,b1f127e,15-15,15,1,9.0,True
Altinn/altinn-studio,15502,2106653581,frontend/testing/playwright/tests/app-settings/app-settings.spec.ts,Agent,ARH,Defects,ts,TypeScript,ts,True,0.9906,0.771,4f4e8a2,82-82,82,1,9.0,True
Altinn/altinn-studio,15502,2106653583,frontend/testing/playwright/tests/app-settings/app-settings.spec.ts,Agent,ARH,Defects,ts,TypeScript,ts,True,0.9906,0.771,4f4e8a2,82-82,93,1,9.0,True
Altinn/altinn-studio,15509,2107297509,frontend/libs/studio-content-library/src/ContentLibrary/LibraryBody/pages/CodeListPage/CodeListPage.test.tsx,Agent,ARH,Defects,tsx,TypeScript,tsx,True,0.8103,0.7326,d55e71a,197-197,197,1,9.0,True
Altinn/altinn-studio,15536,2111956451,frontend/packages/ux-editor/src/components/Properties/GroupConfigPanel/GroupConfigPanel.tsx,Human,HRH,Understanding,tsx,TypeScript,tsx,True,0.9211,0.7264,c0e7484,23-23,23,1,9.0,True
Azure/azure-cli-extensions,9319,2445836408,src/azure-firewall/azext_firewall/tests/latest/test_azure_firewall_scenario.py,Agent,ARH,Code Improvement,py,Python,py,True,0.9163,0.417,e142570,1538-1538,1538,1,9.0,True
Azure/azure-cli-extensions,9319,2445836428,src/azure-firewall/azext_firewall/tests/latest/test_azure_firewall_scenario.py,Agent,ARH,Code Improvement,py,Python,py,True,0.9963,0.4174,e142570,1568-1580,1568,13,9.0,True
Azure/azure-cli-extensions,9396,2496454676,src/aks-preview/azext_aks_preview/aks_safeguards_custom.py,Agent,ARH,Defects,py,Python,py,True,0.9566,0.5966,532d583,39-39,39,1,9.0,True
Azure/azure-cli-extensions,9396,2496454693,src/aks-preview/azext_aks_preview/aks_safeguards_custom.py,Agent,ARH,Code Improvement,py,Python,py,True,0.8102,0.6855,532d583,52-59,52,8,9.0,True
Azure/azure-cli-extensions,9396,2496454700,src/aks-preview/azext_aks_preview/aks_safeguards_custom.py,Agent,ARH,Code Improvement,py,Python,py,True,0.9262,0.6855,532d583,52-59,52,8,9.0,True
Azure/azure-functions-host,11174,2196097047,test/WebJobs.Script.Tests/ScriptStartupTypeDiscovererTests.cs,Agent,ARH,Code Improvement,cs,C#,cs,True,0.9681,1.0,7cce375,1177-1177,1177,1,9.0,True
Azure/azure-functions-host,11174,2196150378,test/WebJobs.Script.Tests/ScriptStartupTypeDiscovererTests.cs,Agent,ARH,Code Improvement,cs,C#,cs,True,0.9681,0.9308,7cce375,1177-1177,1177,1,9.0,True
Azure/azure-functions-host,11210,2237846021,src/WebJobs.Script/Http/RetryProxyHandler.cs,Agent,ARH,Code Improvement,cs,C#,cs,True,0.571,0.5724,832bb61,49-49,48,3,9.0,True
Azure/azure-functions-host,11210,2299129956,src/WebJobs.Script/Http/RetryProxyHandler.cs,Human,HRH,Knowledge Transfer,cs,C#,cs,True,0.6,0.5341,832bb61,63-63,63,1,9.0,True
