thread_id,repo,path,language,language_normalized,reviewer_type,feed_type,file_size_before,file_size_after,LackOfCohesion_Functions_Before,LackOfCohesion_Functions_After,LackOfCohesion_Functions_Delta,LackOfCohesion_Classes_Before,LackOfCohesion_Classes_After,LackOfCohesion_Classes_Delta,NumBaseClasses_Before,NumBaseClasses_After,NumBaseClasses_Delta,NumCoupledClasses_Before,NumCoupledClasses_After,NumCoupledClasses_Delta,NumDerivedClasses_Before,NumDerivedClasses_After,NumDerivedClasses_Delta,InputsOfFunctions_Before,InputsOfFunctions_After,InputsOfFunctions_Delta,OutputsOfFunctions_Before,OutputsOfFunctions_After,OutputsOfFunctions_Delta,InputsOfClasses_Before,InputsOfClasses_After,InputsOfClasses_Delta,OutputsOfClasses_Before,OutputsOfClasses_After,OutputsOfClasses_Delta,CyclomaticComplexity_Total_Before,CyclomaticComplexity_Total_After,CyclomaticComplexity_Total_Delta,CyclomaticComplexity_Avg_Before,CyclomaticComplexity_Avg_After,CyclomaticComplexity_Avg_Delta,CyclomaticComplexity_Max_Before,CyclomaticComplexity_Max_After,CyclomaticComplexity_Max_Delta,MaxNesting_Before,MaxNesting_After,MaxNesting_Delta,LinesOfCode_Before,LinesOfCode_After,LinesOfCode_Delta,LinesOfComment_Before,LinesOfComment_After,LinesOfComment_Delta,CountStmt_Before,CountStmt_After,CountStmt_Delta
2400777243,APSIMInitiative/ApsimX,Tests/UnitTests/CommandLineArgsTests.cs,cs,,Agent,Code Improvement,57914,57924,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,0,27,27,0,0,0,17,17,0,437,437,0,0,24,24,0,844,844,53,53,0,1,1,0,2,2,0,1,1,0,905,905,0,101,101,0,621,621,0
2400777250,APSIMInitiative/ApsimX,Models/Core/ConfigFile/ConfigFile.cs,cs,,Agent,Code Improvement,17810,17801,0.0,0.0,0.0,0.0,0.0,0.0,1,0,-1,13,0,-13,0,0,0,30,30,0,63,62,-1,100,0,-100,226,0,-226,63,63,0,6,6,0,30,30,0,6,6,0,261,261,0,60,60,0,187,187,0
2400777256,APSIMInitiative/ApsimX,Models/Core/ConfigFile/ConfigFile.cs,cs,,Agent,Code Improvement,17810,17801,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,30,30,0,63,62,-1,0,0,0,0,0,0,63,63,0,6,6,0,30,30,0,6,6,0,261,261,0,60,60,0,187,187,0
2450331193,APSIMInitiative/ApsimX,Models/Functions/FrostHeatDamageFunctions.cs,cs,,Agent,Defects,25264,25260,0.0,91.0,91.0,0.0,89.0,89.0,0,2,2,0,24,24,0,0,0,79,79,0,152,152,0,0,28,28,0,160,160,104,104,0,1,1,0,9,9,0,3,3,0,354,355,1,115,114,-1,232,232,0
2467799104,APSIMInitiative/ApsimX,ApsimNG/Utility/Excel.cs,cs,,Agent,Defects,3447,3654,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,11,11,0,0,0,5,5,0,11,11,0,0,20,20,0,40,40,11,12,1,4,4,0,8,9,1,5,6,1,61,67,6,18,18,0,34,36,2
2467799112,APSIMInitiative/ApsimX,ApsimNG/Utility/Excel.cs,cs,,Agent,Code Improvement,3447,3654,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,5,5,0,11,11,0,0,0,0,0,0,0,11,12,1,4,4,0,8,9,1,5,6,1,61,67,6,18,18,0,34,36,2
2071128081,Altinn/altinn-studio,backend/src/Designer/TypedHttpClients/AltinnAuthorization/AltinnAuthorizationPolicyClient.cs,cs,,Agent,Code Improvement,3161,3161,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,12,12,0,9,9,0,0,0,0,0,0,0,3,3,0,2,2,0,2,2,0,1,1,0,48,48,0,21,21,0,26,26,0
2071235171,Altinn/altinn-studio,backend/src/Designer/TypedHttpClients/AltinnAuthorization/AltinnAuthorizationPolicyClient.cs,cs,,Human,Code Improvement,3161,3161,0.0,83.0,83.0,0.0,83.0,83.0,0,1,1,0,10,10,0,0,0,12,12,0,9,9,0,0,72,72,0,54,54,3,3,0,2,2,0,2,2,0,1,1,0,48,48,0,21,21,0,26,26,0
2071235471,Altinn/altinn-studio,backend/src/Designer/TypedHttpClients/AltinnAuthorization/AltinnAuthorizationPolicyClient.cs,cs,,Human,Code Improvement,3161,3161,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,12,12,0,9,9,0,0,0,0,0,0,0,3,3,0,2,2,0,2,2,0,1,1,0,48,48,0,21,21,0,26,26,0
2196097047,Azure/azure-functions-host,test/WebJobs.Script.Tests/ScriptStartupTypeDiscovererTests.cs,cs,,Agent,Code Improvement,73703,73705,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,312,312,0,630,630,0,0,0,0,0,0,0,158,158,0,1,1,0,5,5,0,3,3,0,1009,1009,0,50,50,0,686,686,0
