repo,pr_id,thread_id,path,review_category,language,old_is_applied,old_similarity,old_before_similarity,old_matched_commit,old_commit_lines,final_is_applied,final_similarity,final_before_similarity,final_commit_sha,final_commit_lines,final_commit_added_lines,aggregated_lines_total,deduplicated_lines_total,status_changed,change_type,similarity_diff,sug_startline,sug_LOC
APSIMInitiative/ApsimX,10344,2314781966,Models/AgPasture/SimpleCow.cs,ARH,cs,True,1.0000,0.6667,fdfe49d,275-275,True,0.9793,0.8567,e24aa6b,275-275,254,550,326,NO,CONFIRMED_STABLE,-0.0207,275,1
APSIMInitiative/ApsimX,10344,2314781977,Models/AgPasture/SimpleCow.cs,ARH,cs,True,1.0000,0.6000,fdfe49d,281-281,True,0.9750,0.8339,e24aa6b,281-281,254,550,326,NO,CONFIRMED_STABLE,-0.0250,281,1
APSIMInitiative/ApsimX,10344,2314781980,Models/AgPasture/SimpleCow.cs,ARH,cs,True,1.0000,0.8125,fdfe49d,310-310,True,0.9784,0.9224,e24aa6b,310-310,254,550,326,NO,CONFIRMED_STABLE,-0.0216,310,1
APSIMInitiative/ApsimX,10344,2314781987,Models/AgPasture/SimpleCow.cs,ARH,cs,True,1.0000,0.8000,fdfe49d,386-386,True,0.9750,1.0000,e24aa6b,386-386,254,550,326,NO,CONFIRMED_STABLE,-0.0250,386,1
APSIMInitiative/ApsimX,10359,2338191440,Models/PMF/Structure/DimensionsOverZones.cs,ARH,cs,True,1.0000,0.8889,5ac8457,11-11,True,0.9899,0.9506,c662b8a,11-11,14,268,126,NO,CONFIRMED_STABLE,-0.0101,11,1
APSIMInitiative/ApsimX,10359,2338191487,Models/PMF/Structure/DimensionsOverZones.cs,ARH,cs,True,1.0000,0.9091,5ac8457,110-110,True,0.9786,0.9619,c662b8a,110-110,14,268,126,NO,CONFIRMED_STABLE,-0.0214,110,1
APSIMInitiative/ApsimX,10365,2299819973,APSIM.Documentation/Models/Types/DocSimulations.cs,ARH,cs,True,1.0000,0.7500,f1aef66,232-232,True,0.9348,1.0000,a1dd4bf,232-232,1,25,16,NO,CONFIRMED_STABLE,-0.0652,231,1
APSIMInitiative/ApsimX,10365,2299819987,APSIM.Documentation/Models/Types/DocSimulations.cs,ARH,cs,True,0.6111,0.6111,f1aef66,237-240,True,0.7458,0.5723,a1dd4bf,237-239,1,25,16,NO,CONFIRMED_DIFFERENT_SCORE,0.1347,232,4
APSIMInitiative/ApsimX,10369,2299669299,.github/workflows/run-model-validations.yml,ARH,yml,True,1.0000,0.3333,b8d4dc9,17-17,True,0.9760,0.6590,b8d4dc9,17-17,1,2,1,NO,CONFIRMED_STABLE,-0.0240,17,1
APSIMInitiative/ApsimX,10371,2302777197,Models/Functions/SubDailyInterpolation.cs,ARH,cs,True,1.0000,0.7778,daafc81,35-35,True,0.9647,0.9070,6552576,35-35,5,15,9,NO,CONFIRMED_STABLE,-0.0353,35,1
APSIMInitiative/ApsimX,10371,2302777205,Models/Functions/SubDailyInterpolation.cs,ARH,cs,True,1.0000,0.7778,daafc81,35-35,True,0.9647,0.9028,6552576,35-35,5,15,9,NO,CONFIRMED_STABLE,-0.0353,39,1
APSIMInitiative/ApsimX,10371,2302777207,Models/Functions/SubDailyInterpolation.cs,ARH,cs,True,1.0000,0.8462,daafc81,67-67,True,0.9478,0.9361,6552576,67-67,5,15,9,NO,CONFIRMED_STABLE,-0.0522,67,1
APSIMInitiative/ApsimX,10374,2302777263,Models/Stock/graztype.cs,ARH,cs,True,0.7308,0.0455,28c6612,226-226,True,0.8081,0.9879,311127a,226-229,2,29,27,NO,CONFIRMED_STABLE,0.0773,227,3
