Metric,P_Value,Significant,Effect_Size,Cliffs_Delta,Mean_Human,Mean_AI
SumStrictModifiedCyclomaticComplexity,2.2911060264769405e-08,Yes,Negligible,-0.050330288064809346,0.0033112582781456954,0.10550284629981024
SumStrictCyclomaticComplexity,2.2911060264769405e-08,Yes,Negligible,-0.050330288064809346,-0.0016556291390728477,0.10550284629981024
SumModifiedCyclomaticComplexity,3.6258253726944313e-06,Yes,Negligible,-0.03790500605283771,0.009381898454746136,0.0857685009487666
SumCyclomaticComplexity,4.994900016361774e-06,Yes,Negligible,-0.036705538870109036,-0.002207505518763797,0.08500948766603415
ExecutableStatements,1.810213613244659e-05,Yes,Negligible,-0.03953487397949994,0.09933774834437085,0.1760910815939279
Statements,0.0002521447656843512,Yes,Negligible,-0.03586547201662122,0.1076158940397351,0.2159392789373814
DeclarativeCodeLines,0.000554033198610097,No,Negligible,-0.020721439611948177,-0.024834437086092714,0.028462998102466792
Paths,0.0008318770759474556,No,Negligible,-0.006993226686102768,-0.24282560706401765,0.9673624288425048
AverageStrictCyclomaticComplexity,0.001322086763870466,No,Negligible,-0.01349824698091157,-0.009381898454746136,0.008349146110056925
ExecutableStatementsJavaScript,0.002330720877988527,No,Negligible,-0.014998052201012855,-0.00772626931567329,0.031878557874762806
AverageStrictModifiedCyclomaticComplexity,0.0024608517022496404,No,Negligible,-0.012209558038126594,-0.008278145695364239,0.007590132827324478
AverageCyclomaticComplexity,0.002907864245684788,No,Negligible,-0.010823479145984392,-0.0033112582781456954,0.009487666034155597
Lines,0.0035748561413438207,No,Negligible,-0.03761597781603562,0.1986754966887417,0.49449715370018976
CodeLines,0.005012310099559395,No,Negligible,-0.03235650166924279,-0.02869757174392936,0.27514231499051234
Semicolons,0.006600206913562807,No,Negligible,-0.015856340399864284,-0.06898454746136866,0.051233396584440226
SumEssentialComplexity,0.006659186373468088,No,Negligible,-0.015427615181941181,0.00772626931567329,0.047817836812144215
ExecutableCodeLines,0.006907312208526704,No,Negligible,-0.023488989699703852,0.06346578366445917,0.22960151802656548
AverageModifiedCyclomaticComplexity,0.007200818559920698,No,Negligible,-0.01006572250775978,-0.0033112582781456954,0.00872865275142315
ExecutableUnits,0.009121371027751292,No,Negligible,-0.010771537839660538,0.0011037527593818985,0.03377609108159393
DeclarativeStatements,0.00959622286050847,No,Negligible,-0.018149716626663485,0.025386313465783666,0.07058823529411765
ClassVariables,0.010724702818313234,No,Negligible,-0.014852071997352669,-0.04525386313465784,0.17229601518026566
Functions,0.014046085951082725,No,Negligible,-0.009716584775332906,0.009381898454746136,0.031878557874762806
PublicMethods,0.018313286065458297,No,Negligible,-0.0024133857772974604,-0.0033112582781456954,0.0007590132827324478
CommentLinesJavaScript,0.03550188537091954,No,Negligible,-0.008685926838156754,0.0005518763796909492,0.030360531309297913
EssentialComplexity,0.03672990615650672,No,Negligible,-0.0033074883446221896,-0.0033112582781456954,0.0030360531309297912
CoupledClasses,0.03690713763960615,No,Negligible,-0.02053734119155032,0.0016556291390728477,0.19203036053130929
InactiveLines,0.04041379998390576,No,Negligible,-0.00528754120746782,0.16225165562913907,0.06869070208728653
StrictCyclomaticComplexity,0.04064695849331445,No,Negligible,-0.0038560136722922455,-0.005518763796909493,0.012523719165085389
StrictModifiedCyclomaticComplexity,0.04064695849331445,No,Negligible,-0.0038560136722922455,-0.005518763796909493,0.012523719165085389
ModifiedCyclomaticComplexity,0.040734300234044764,No,Negligible,-0.0038543381462817984,-0.003863134657836645,0.012144212523719165
CyclomaticComplexity,0.040734300234044764,No,Negligible,-0.0038543381462817984,-0.003863134657836645,0.012144212523719165
AverageCodeLines,0.04341064637229745,No,Negligible,-0.014857726897637927,-0.02869757174392936,0.041366223908918406
BlankLines,0.04926378200778755,No,Negligible,0.012501309004695661,-0.0016556291390728477,0.012903225806451613
PrivateMethods,0.06411459043224761,No,Not Significant,0.0,0.0027593818984547464,-0.0011385199240986717
BlankLinesIncludesInactive,0.06730733188348471,No,Not Significant,0.0,0.006070640176600441,0.0015180265654648956
MaxStrictModifiedCyclomaticComplexity,0.07171600642391851,No,Not Significant,0.0,0.00717439293598234,0.020872865275142316
MaxStrictCyclomaticComplexity,0.07189025199353175,No,Not Significant,0.0,0.006622516556291391,0.02049335863377609
AverageCommentLinesIncludesInactive,0.08814445400937129,No,Not Significant,0.0,0.0011037527593818985,0.0
AverageEssentialComplexity,0.12400644357652749,No,Not Significant,0.0,-0.0016556291390728477,0.0030360531309297912
LinesJavaScript,0.14263435899469282,No,Not Significant,0.0,0.024282560706401765,0.08197343453510436
AverageCommentLines,0.17159677814030516,No,Not Significant,0.0,0.00772626931567329,0.0011385199240986717
CommentLinesPHP,0.1820317845584002,No,Not Significant,0.0,0.0380794701986755,0.003795066413662239
MaxInheritanceTree,0.18223314827353376,No,Not Significant,0.0,-0.014900662251655629,0.005313092979127135
BaseClasses,0.18431837252864913,No,Not Significant,0.0,-0.017108167770419427,0.03643263757115749
CommentLinesIncludesInactive,0.19550664806467621,No,Not Significant,0.0,0.01545253863134658,0.0064516129032258064
EmptyStatements,0.22803266757255758,No,Not Significant,0.0,-0.0005518763796909492,0.0
AverageLines,0.24428793995820275,No,Not Significant,0.0,-0.03145695364238411,0.0713472485768501
ExecutableStatementsPHP,0.2555302235589043,No,Not Significant,0.0,0.028145695364238412,0.011005692599620493
